citeid,paraid,citedsentence,citedparaid,score
18510,1212216,"Like other two beta-coronaviruses (see Glossary) (SARS-CoV and MARS-CoV), the COVID-19 also caused the severe respiratory syndrome considered as much more severe than the previous coronaviruses (Chung et al.",565177,1.13111E-05
19232,2170964,"As other DEAD-box RNA helicases, such as DDX1 and DDX5, DDX3 appears to facilitate replication of different RNA viruses, as the alphavirus Venezuelan equine encephalitis virus and the hepatitis C virus (HCV), among others [95] [96] [97] [98] [99] [100] .",1175837,0.001783839
18214,252599,"For example, maximal titers measured by determining the TCID 50 can range between > 10 3 (Jacobse-Geels and Horzinek, 1983) and 10 4 TCID 50 /mL (Takano et al., 2015) at 24-48 hpi, or measured by plaque assay between > 10 4 (36 hpi) (Tekes et al., 2012 (Tekes et al., , 2007 and > 10 7 pfu/mL (20 hpi) (This Report).",1262557,1.58252E-06
18403,252599,"Further, these Fcwf-4 CU cells may express a higher density of the yet unknown type I virus receptor (Cham et al., 2017; Dye et al., 2007) and therefore may be critical in identifying the receptor or other cellular characteristics that allow for enhanced type I virus replication.",1184041,6.13131E-07
18468,252599,"Further, these Fcwf-4 CU cells may express a higher density of the yet unknown type I virus receptor (Cham et al., 2017; Dye et al., 2007) and therefore may be critical in identifying the receptor or other cellular characteristics that allow for enhanced type I virus replication.",1269518,0.000660947
18136,2877388,"However, all these considerations cannot explain the earliest lesion in distemper which consists of segmental demyelination in the absence of edema and in which hypertrophic astrocytes themselves participate in the separation of the myelin sheath from the axon (Higgins et al.",853776,0.426606327
18268,2877389,1982b; Higgins et al.,853786,0.370387346
18436,2877389,1974; Higgins et al.,853768,0.598258376
18978,1312909,"The CCHFV RdRp activity is part of a multifunctional L protein that is currently not available for biochemical or structural studies [17, 18] .",2202505,0.000602914
19575,1312910,The ubiquitin variant CC.4 binds to the OTU domain with high affinity and inhibits CCHFV DUB activity [27] .,3053809,0.061510522
18927,1615609,"Unlike those of many other cornaviruses, the S protein of SARS-CoV may not be cleaved in the virus-producing cells [3, 4] ; however, two domains corresponding to the N-terminal S1 subunit and the C-terminal S2 subunit of processed coronaviruses can be defined by sequence alignment [5, 6] .",675682,1.37592E-08
19001,1615609,"Unlike those of many other cornaviruses, the S protein of SARS-CoV may not be cleaved in the virus-producing cells [3, 4] ; however, two domains corresponding to the N-terminal S1 subunit and the C-terminal S2 subunit of processed coronaviruses can be defined by sequence alignment [5, 6] .",1753629,6.79142E-05
19070,1615609,"Unlike those of many other cornaviruses, the S protein of SARS-CoV may not be cleaved in the virus-producing cells [3, 4] ; however, two domains corresponding to the N-terminal S1 subunit and the C-terminal S2 subunit of processed coronaviruses can be defined by sequence alignment [5, 6] .",1560319,6.61755E-09
19117,1615609,"The S1 subunit of coronavirus S protein forms the surface knob-like structure, whereas the S2 subunit is membraneanchored and forms the stem-like structure beneath the knob [7, 8] .",1043243,0.134693384
19262,1615610,The binding of coronavirus to its specific receptor on the target cell is an initial step of infection [7] [8] [9] .,1043235,0.591807008
19618,1312910,CC.4 was also shown to affect infectivity and replication [28] .,3036075,3.55207E-05
19599,1716568,"Notable viruses that were suggested to be able to use IRES to mediate translation initiation via cap-independent mode to produce proteins include coronavirus, HCV, CSFV, HIV, and CrPV [129] [130] [131] [132] [133] .",2867533,1.08972E-07
19630,1867847,"Due to the devastating consequences of the 2003 outbreak, significant efforts were made in the identification of new antiviral agents, including siRNA-based drugs targeting the leading sequence [45] or the Spike protein-coding and ORF1b regions of the virus [46] .",999436,1.29989E-07
19646,2322331,"Two strains of coronaviruses, SARS-CoV-1 and MERS-CoV, have been reported to cause severe respiratory syndromes, resulting in deadly epidemics in 2002 and 2012, respectively (Fung and Liu, 2019; Luk et al., 2019) .",2239264,0.000311827
